add,file,remove,test,time,total,type
2,src/core/TheHeader.vue,1,False,1599058121,3,vue
2,src/pages/menu/App.vue,2,False,1599058121,4,vue
1,src/pages/menu/components/TheUserSettings.vue,0,False,1599058121,1,vue
0,src/preamble.js,2,False,1599058121,2,js
53,tests/unit/pages/menu/App.spec.js,17,True,1599058121,70,js
7,tests/unit/pages/menu/components/TheSidebar.spec.js,1,True,1599058121,8,js
11,tests/unit/pages/menu/components/TheUserSettings.spec.js,3,True,1599058121,14,js
3,tests/unit/test_utils.js,10,True,1599058121,13,js
1,src/pages/menu/components/TheUserSettings.vue,1,False,1599039629,2,vue
21,src/pages/menu/components/TheUserSettings.vue,26,False,1599039479,47,vue
0,src/api/resource-task.js,2,False,1599038342,2,js
0,src/core/mixins/TabEvent.js,1,False,1599038342,1,js
2,src/pages/annotate/App.vue,3,False,1599038342,5,vue
0,src/pages/menu/App.vue,1,False,1599038342,1,vue
0,src/pages/menu/components/TheUserSettings.vue,1,False,1599038342,1,vue
1,package.json,1,False,1598966067,2,json
29,src/api/resource-task.js,2,False,1598966067,31,js
9,src/pages/annotate/App.vue,1,False,1598966067,10,vue
4,src/pages/menu/App.vue,11,False,1598966067,15,vue
166,src/pages/menu/components/TheHistory.vue,0,False,1598966067,166,vue
5,src/pages/menu/components/TheSidebar.vue,1,False,1598966067,6,vue
1,src/pages/menu/components/TheUserSettings.vue,1,False,1598966067,2,vue
64,tests/unit/pages/menu/components/TheHistory.spec.js,0,True,1598966067,64,js
19,tests/unit/pages/menu/components/TheSidebar.spec.js,0,True,1598966067,19,js
19,src/api/resource-user.js,0,False,1598624071,19,js
21,src/pages/menu/App.vue,12,False,1598624071,33,vue
2,package-lock.json,2,False,1598450640,4,json
28,src/core/mixins/Communication.js,0,False,1598438577,28,js
3,src/pages/annotate/App.vue,5,False,1598438577,8,vue
57,src/pages/annotate/components/Category.vue,13,False,1598438577,70,vue
6,src/pages/annotate/components/TheConfidenceField.vue,1,False,1598438577,7,vue
7,src/pages/annotate/components/TheFeedbackField.vue,1,False,1598438577,8,vue
19,src/pages/annotate/components/TheLabelSelectionPanel.vue,1,False,1598438577,20,vue
42,src/util/validation.js,0,False,1598438577,42,js
0,src/api/resource-mock.js,11,False,1598372496,11,js
0,src/api/resource-task.js,2,False,1598372496,2,js
5,src/api/resource-user.js,1,False,1598372496,6,js
20,src/core/TheHeader.vue,6,False,1598372496,26,vue
18,src/core/mixins/Communication.js,0,False,1598372496,18,js
82,src/pages/annotate/App.vue,95,False,1598372496,177,vue
34,src/pages/annotate/components/Category.vue,11,False,1598372496,45,vue
20,src/pages/annotate/components/TheConfidenceField.vue,1,False,1598372496,21,vue
16,src/pages/annotate/components/TheFeedbackField.vue,2,False,1598372496,18,vue
94,src/pages/annotate/components/TheLabelSelectionPanel.vue,31,False,1598372496,125,vue
2,src/preamble.js,0,False,1598372496,2,js
20,src/util/validation.js,0,False,1598372496,20,js
176,tests/unit/pages/annotate/App.spec.js,0,True,1598372496,176,js
9,tests/unit/pages/menu/components/TheHistory.spec.js,0,True,1598372496,9,js
41,tests/unit/util/validation.spec.js,0,True,1598372496,41,js
2,package-lock.json,2,False,1598356207,4,json
2,package.json,1,False,1598356207,3,json
17,src/core/TheHeader.vue,4,False,1598356207,21,vue
17,src/pages/annotate/components/Category.vue,3,False,1598356207,20,vue
14,src/pages/annotate/components/TheReportDisplay.vue,1,False,1598356207,15,vue
1,src/pages/login/components/TheLogin.vue,1,False,1598356207,2,vue
116,src/pages/menu/App.vue,0,False,1598356207,116,vue
79,src/pages/menu/assets/user_settings.js,0,False,1598356207,79,js
139,src/pages/menu/components/TheSidebar.vue,0,False,1598356207,139,vue
73,src/pages/menu/components/TheUserSettings.vue,0,False,1598356207,73,vue
10,src/pages/menu/main.js,0,False,1598356207,10,js
48,tests/unit/pages/menu/App.spec.js,0,True,1598356207,48,js
40,tests/unit/pages/menu/components/TheSidebar.spec.js,0,True,1598356207,40,js
53,tests/unit/pages/menu/components/TheUserSettings.spec.js,0,True,1598356207,53,js
28,tests/unit/test_utils.js,0,True,1598356207,28,js
12,vue.config.js,0,False,1598356207,12,js
1,package-lock.json,1,False,1598258437,2,json
1,package.json,1,False,1598258437,2,json
